DT,Open,High,Low,Close,Volume,Date
2018-07-26T04:00:00.000Z,100.26,101.27,99.88,100,58742970,20180726000000000
2018-07-27T04:00:00.000Z,99.84,100.36,99.26,100.01,39522407,20180727000000000
2018-07-30T04:00:00.000Z,100.01,100.5,99.62,100.18,46250045,20180730000000000
2018-07-31T04:00:00.000Z,98.35,99.68,98.2,99.24,45945406,20180731000000000
2018-08-01T04:00:00.000Z,98.87,99.62,98.71,99.39,42735919,20180801000000000
2018-08-02T04:00:00.000Z,99.43,99.66,99.05,99.11,51549704,20180802000000000
2018-08-03T04:00:00.000Z,97.98,98.55,97.86,98.55,44171243,20180803000000000
2018-08-06T04:00:00.000Z,99.02,99.5,98.48,99.2,66095288,20180806000000000
2018-08-07T04:00:00.000Z,98.66,99.04,98.09,98.36,48381697,20180807000000000
2018-08-08T04:00:00.000Z,99.05,99.65,98.98,99.23,49310441,20180808000000000
2018-08-09T04:00:00.000Z,99.47,99.97,98.58,99.86,38221231,20180809000000000
2018-08-10T04:00:00.000Z,99.92,100.37,99.52,99.62,48537332,20180810000000000
2018-08-13T04:00:00.000Z,99.53,100.61,99.12,100.47,42353382,20180813000000000
2018-08-14T04:00:00.000Z,99.06,100.06,98.27,99.92,63188884,20180814000000000
2018-08-15T04:00:00.000Z,100.62,101.16,100.17,100.51,32281894,20180815000000000
2018-08-16T04:00:00.000Z,100.03,100.16,98.9,100.16,38943626,20180816000000000
2018-08-17T04:00:00.000Z,99.47,99.82,99.23,99.73,43577980,20180817000000000
2018-08-20T04:00:00.000Z,99.34,99.91,99.16,99.23,55618710,20180820000000000
2018-08-21T04:00:00.000Z,98.97,99.19,98.2,98.46,49810206,20180821000000000
2018-08-22T04:00:00.000Z,98.34,98.74,98.02,98.33,30129651,20180822000000000
2018-08-23T04:00:00.000Z,98.93,98.93,97.92,98.55,34647157,20180823000000000
2018-08-24T04:00:00.000Z,98.61,99.21,98.33,98.85,42765342,20180824000000000
2018-08-27T04:00:00.000Z,99.03,99.06,98.54,98.93,50603211,20180827000000000
2018-08-28T04:00:00.000Z,99.2,99.2,97.72,98.4,60970274,20180828000000000
2018-08-29T04:00:00.000Z,97.86,98.25,96.94,98.25,42295425,20180829000000000
2018-08-30T04:00:00.000Z,98.24,98.99,97.96,98.85,32236133,20180830000000000
2018-08-31T04:00:00.000Z,98.75,99.31,98.66,98.93,57743460,20180831000000000
2018-09-04T04:00:00.000Z,98.43,98.63,97.43,98.14,42570392,20180904000000000
2018-09-05T04:00:00.000Z,97.07,97.9,96.78,97.65,39697016,20180905000000000
2018-09-06T04:00:00.000Z,97.87,98.62,97.75,98.34,75074138,20180906000000000
2018-09-07T04:00:00.000Z,98.16,98.58,97.62,97.62,55488888,20180907000000000
2018-09-10T04:00:00.000Z,97.43,98.06,97.32,97.93,19526545,20180910000000000
2018-09-11T04:00:00.000Z,96.5,98.07,96.5,97.37,46471678,20180911000000000
2018-09-12T04:00:00.000Z,97.29,97.76,96.87,97.12,20863778,20180912000000000
2018-09-13T04:00:00.000Z,97.06,98.09,97.06,97.77,37335142,20180913000000000
2018-09-14T04:00:00.000Z,97.09,97.64,96.93,97.2,58464362,20180914000000000
2018-09-17T04:00:00.000Z,97.9,98.46,97.49,97.6,32954915,20180917000000000
2018-09-18T04:00:00.000Z,97.58,98.43,97.42,97.86,37607502,20180918000000000
2018-09-19T04:00:00.000Z,97.58,97.79,96.91,97.11,57765359,20180919000000000
2018-09-20T04:00:00.000Z,95.7,96.61,95.51,96.5,31580658,20180920000000000
2018-09-21T04:00:00.000Z,96.47,97.32,96.29,96.89,36136965,20180921000000000
2018-09-24T04:00:00.000Z,96.44,96.5,95.18,96.19,39154080,20180924000000000
2018-09-25T04:00:00.000Z,95.62,96.65,95.44,96.23,54775855,20180925000000000
2018-09-26T04:00:00.000Z,96.89,97.18,95.61,95.74,29627958,20180926000000000
2018-09-27T04:00:00.000Z,94.44,95.6,93.92,95.41,64725214,20180927000000000
2018-09-28T04:00:00.000Z,96.01,96.09,95.17,95.38,45415552,20180928000000000
2018-10-01T04:00:00.000Z,94.69,94.9,94.12,94.67,47087284,20181001000000000
2018-10-02T04:00:00.000Z,94.74,94.81,94.29,94.79,46568018,20181002000000000
2018-10-03T04:00:00.000Z,95.21,95.69,94.53,95.56,65115757,20181003000000000
2018-10-04T04:00:00.000Z,95.08,95.61,94.81,94.9,50852530,20181004000000000
2018-10-05T04:00:00.000Z,95.87,95.96,95.21,95.75,46090785,20181005000000000
2018-10-08T04:00:00.000Z,95.62,96.2,94.95,96.2,40668826,20181008000000000
2018-10-09T04:00:00.000Z,97.54,97.68,96.88,97.14,36053856,20181009000000000
2018-10-10T04:00:00.000Z,98.22,98.33,97.44,97.56,51761440,20181010000000000
